Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,Realtor,Price_CLP_MM,F_homicidio,T_homicidio,R_homicidio,F_rlh,T_rlh,R_rlh,F_rlnh,T_rlnh,R_rlnh,F_r_veh,T_r_veh,R_r_veh,F_r_violencia,T_r_violencia,R_r_violencia,F_violacion,T_violacion,R_violacion,Sector
PuenteAlto,AvSanCarlosc/AvTobalaba,3,3.0,97.0,137.0,1.0,Unne,170.0,15,2.3,medio,863,130.7,medio,1271,192.5,bajo,1015,153.7,medio,2883,436.6,medio,137,20.7,medio,Suroriente
LaReina,AvTobalabaconAvLarrainMetroFernandoCastilloVelasco,3,2.0,92.0,420.0,5.0,Unne,352.34,1,1.0,bajo,309,308.6,crítico,481,480.4,alto,250,249.7,alto,341,340.6,medio,14,14.0,medio,Nororiente
LoBarnechea,GolfdeManquehue,5,4.0,330.0,753.0,3.0,Viel la Dehesa SPA,1206.5,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,CondominioLosMonjes-LosTrapenses,5,5.0,273.0,731.0,3.0,Viel la Dehesa SPA,1135.32,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Vitacura,Vitacura/AlonsodeCórdova,5,4.0,140.0,150.0,4.0,Viel la Dehesa SPA,562.32,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
LoBarnechea,PuntadeAguila/CaminoReal,5,3.0,450.0,1479.0,2.0,Viel la Dehesa SPA,1921.86,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Colina,Av.JoséRabat,5,5.0,175.0,510.0,2.0,Vidal Riedel Propiedades - Las Condes.,601.47,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Peñaflor,cercanoaAutopistadelSol,5,4.0,787.0,5000.0,10.0,Vidal Riedel Propiedades - Las Condes.,640.62,3,2.9,medio,213,204.6,alto,407,390.9,alto,124,119.1,medio,259,248.8,medio,18,17.3,medio,Surponiente
Peñalolén,Consistorial/QuebradadeMacul,4,3.0,110.0,300.0,2.0,Mauricio Pino Propiedades,311.41,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
LaReina,EscultoraRebecaMatte,4,3.0,145.0,803.0,5.0,Unne,765.18,1,1.0,bajo,309,308.6,crítico,481,480.4,alto,250,249.7,alto,341,340.6,medio,14,14.0,medio,Nororiente
LoBarnechea,Pieandino,5,4.0,211.0,300.0,2.0,Viel la Dehesa SPA,622.83,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Av.Ladehesa/caminoelhuinganal,5,4.0,295.0,707.0,3.0,Viel la Dehesa SPA,1128.2,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Parquegolf/golfdemanquehue,6,4.0,392.0,961.0,3.0,Viel la Dehesa SPA,1352.42,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Condominiogranvista,7,5.0,653.0,1381.0,3.0,Viel la Dehesa SPA,1832.88,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LasCondes,Ivcentenario-arq.Ictinos,5,3.0,160.0,684.0,5.0,Viel la Dehesa SPA,701.12,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
Vitacura,Lastranqueras/vitacura,3,3.0,90.0,178.0,1.0,Viel la Dehesa SPA,423.17,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
Vitacura,Parqueantoniorabat/lavendimia,6,6.0,450.0,1002.0,5.0,Viel la Dehesa SPA,1775.94,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
LoBarnechea,Nueva,4,4.0,333.0,811.0,5.0,Viel la Dehesa SPA,1316.83,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Nueva,4,4.0,335.0,809.0,5.0,Viel la Dehesa SPA,1423.6,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Bernardolarrain-loshalcones,6,4.0,520.0,1820.0,3.0,Viel la Dehesa SPA,1637.14,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Parquegolf-lashualtatas,6,4.0,375.0,900.0,3.0,Viel la Dehesa SPA,1388.01,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Caminodelsol-elmaillin,8,7.0,908.0,4844.0,6.0,Viel la Dehesa SPA,1850.68,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Vitacura,Alonsodecordova/elciruelillo,6,3.0,210.0,400.0,3.0,Lyon y Balmaceda Ltda.,674.43,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
Peñalolén,LagunadelLajaOriente,4,3.0,160.0,410.0,2.0,Easyprop,476.91,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
LoBarnechea,Oportunidad//LasPataguas//LaDehesa,5,7.0,650.0,1600.0,8.0,Unne,1174.47,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Vitacura,AlonsodeCórdova/ElCoigue,5,4.0,236.0,477.0,1.0,Lyon y Balmaceda Ltda.,889.75,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
Vitacura,NuevaCostanera/AntoniodePastrana,5,4.0,146.0,178.0,1.0,Lyon y Balmaceda Ltda.,640.62,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
LoBarnechea,Oportunidad//Nueva//EnLaDehesa,5,5.0,265.0,720.0,3.0,Unne,992.25,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Colina,Maravillosacasamediterraneacondomiiolasbrisas,5,5.0,583.0,3700.0,4.0,Lyon y Balmaceda Ltda.,2099.45,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
LoBarnechea,Preciosacasaapasosdelportalladehesa,5,4.0,306.0,1020.0,2.0,Lyon y Balmaceda Ltda.,942.78,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Lindayfinacasa/huinganal/caminocolonial,5,6.0,417.0,1323.0,6.0,Lyon y Balmaceda Ltda.,1138.88,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Vitacura,Maravillosacasamediterranealuispasteur/manquehuenorte,5,4.0,400.0,1059.0,4.0,Lyon y Balmaceda Ltda.,1672.37,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
LoBarnechea,Excentecasacaminocentral/av.Ladehesa,5,3.0,228.0,668.0,3.0,Lyon y Balmaceda Ltda.,854.16,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Ñuñoa,OrtuzarconIrarrazabal/MetroVillaFrei,4,3.0,180.0,330.0,2.0,Hobbins Vitacura,370.14,3,1.2,medio,422,162.5,medio,914,351.9,medio,629,242.2,alto,1175,452.4,medio,24,9.2,bajo,Nororiente
LoBarnechea,Av.Lostrapenses,6,4.0,232.0,327.0,3.0,Agustín Fuenzalida Propiedades,729.6,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Pieandino,5,4.0,140.0,342.0,2.0,Agustín Fuenzalida Propiedades,565.88,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LasCondes,Sandamián,5,4.0,440.0,1700.0,5.0,Agustín Fuenzalida Propiedades,1779.5,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
Providencia,LosConquistadores/CarlosCasanueva,8,6.0,373.0,615.0,2.0,Viel Propiedades dos Ltda.,782.98,2,1.2,medio,290,179.5,alto,906,560.8,crítico,645,399.2,crítico,1301,805.2,alto,36,22.3,alto,Nororiente
Providencia,LoContador,6,2.0,314.0,750.0,6.0,Viel Propiedades dos Ltda.,1028.55,2,1.2,medio,290,179.5,alto,906,560.8,crítico,645,399.2,crítico,1301,805.2,alto,36,22.3,alto,Nororiente
Colina,condominioelremansodechicureo,3,4.0,140.0,450.0,2.0,Easyprop,338.1,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Colina,Alba2,4,4.0,200.0,5000.0,14.0,Easyprop,658.42,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
LasCondes,Losdominicos/santamagdalenasofia,4,4.0,170.0,300.0,2.0,OSSANDON CORREDORES ASOCIADOS S.A.,551.64,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LoBarnechea,Cerrolagunillas/bernardolarrain,4,6.0,349.0,1142.0,4.0,OSSANDON CORREDORES ASOCIADOS S.A.,1637.14,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Colina,Oportunidad//pasajelaquebradanorte//chamisero,4,5.0,166.0,619.0,3.0,Unne,505.38,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
LasCondes,SebastiánElCano,4,2.0,133.0,306.0,4.0,Lyon y Balmaceda Ltda.,462.67,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LoBarnechea,Jumboav.Ladehesa,5,4.0,140.0,321.0,2.0,OSSANDON CORREDORES ASOCIADOS S.A.,537.41,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Caminodemichai,5,4.0,369.0,2080.0,8.0,OSSANDON CORREDORES ASOCIADOS S.A.,1063.07,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Colina,Piedraroja,4,4.0,140.0,447.0,5.0,OSSANDON CORREDORES ASOCIADOS S.A.,462.31,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Colina,Piedraroja,5,4.0,180.0,560.0,2.0,OSSANDON CORREDORES ASOCIADOS S.A.,518.9,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Peñalolén,Laspircas,4,4.0,400.0,1861.0,3.0,OSSANDON CORREDORES ASOCIADOS S.A.,782.98,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
LoBarnechea,Av.Ladehesa,6,5.0,380.0,1230.0,5.0,OSSANDON CORREDORES ASOCIADOS S.A.,1388.01,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Vitacura,Santamariamanquehue,6,5.0,1000.0,5600.0,8.0,OSSANDON CORREDORES ASOCIADOS S.A.,2669.25,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
LasCondes,Cardenalnewmanpuntadeleste,4,3.0,160.0,504.0,3.0,Lyon y Balmaceda Ltda.,587.24,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,RíoGuadiana/CarlosPeñaOtaegui,5,4.0,300.0,437.0,5.0,Lyon y Balmaceda Ltda.,569.26,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,LasLomas/Miravalle,5,3.0,141.0,435.0,2.0,Lyon y Balmaceda Ltda.,494.7,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Sanjosedelasierra/charleshamilton,5,4.0,401.0,1820.0,3.0,Lyon y Balmaceda Ltda.,1174.47,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
Ñuñoa,CoventryconSimónBolivar,6,4.0,250.0,660.0,2.0,Bofill y  Asociados Ltda,775.86,3,1.2,medio,422,162.5,medio,914,351.9,medio,629,242.2,alto,1175,452.4,medio,24,9.2,bajo,Nororiente
LasCondes,MetroLosDominicos,3,2.0,200.0,490.0,5.0,Bofill y  Asociados Ltda,640.62,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LoBarnechea,SantiagoCollege/LosTrapenses-DN,5,3.0,270.0,808.0,6.0,Hobbins Vitacura,871.96,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
PadreHurtado,CaminoaValparaiso/CondominioLaPrimavera-DN,3,3.0,140.0,5000.0,6.0,Hobbins Vitacura,377.25,5,6.4,alto,150,192.1,alto,327,418.7,alto,96,122.9,medio,203,260.0,medio,17,21.8,medio,Surponiente
LoBarnechea,CaminoelHuinganal/CaminoElCorregidor-DN,5,4.0,320.0,2053.0,5.0,Hobbins Vitacura,1405.8,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
PuenteAlto,caminorealcontroncalSanFrancisco,3,2.0,82.0,120.0,2.0,Nexxos,133.82,15,2.3,medio,863,130.7,medio,1271,192.5,bajo,1015,153.7,medio,2883,436.6,medio,137,20.7,medio,Suroriente
Independencia,Av.FermínVivaceta2446,4,2.0,186.0,527.0,3.0,Cadepar Propiedades SpA,569.44,7,4.7,alto,109,72.6,bajo,331,220.6,medio,404,269.2,alto,954,635.7,alto,34,22.7,alto,Norte
LasCondes,Lascondes,3,2.0,112.0,212.0,3.0,Agustín Fuenzalida Propiedades,352.34,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,caminolafuente,7,6.0,480.0,1430.0,14.0,Agustín Fuenzalida Propiedades,1242.09,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Delinca,5,5.0,247.0,500.0,4.0,Agustín Fuenzalida Propiedades,847.04,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Losdominicos,6,4.0,192.0,347.0,3.0,Agustín Fuenzalida Propiedades,569.44,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,CharlesHamilton,4,3.0,133.0,392.0,2.0,Agustín Fuenzalida Propiedades,601.47,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Bocaccio,3,4.0,220.0,290.0,3.0,Agustín Fuenzalida Propiedades,569.08,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Lafuente,6,6.0,320.0,826.0,8.0,Agustín Fuenzalida Propiedades,1170.91,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,lasverientes,5,4.0,162.0,442.0,4.0,Agustín Fuenzalida Propiedades,669.09,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Quinchamali,4,4.0,320.0,1030.0,2.0,Agustín Fuenzalida Propiedades,871.96,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,CaminoOtoñal,8,7.0,536.0,1856.0,7.0,Agustín Fuenzalida Propiedades,1313.27,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,LasLavandulas,4,4.0,350.0,1150.0,3.0,Agustín Fuenzalida Propiedades,871.92,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Montecasino,5,5.0,335.0,1600.0,4.0,Agustín Fuenzalida Propiedades,1032.11,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Campanario,5,5.0,240.0,400.0,5.0,Agustín Fuenzalida Propiedades,793.3,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,GeneralBlanche,4,4.0,180.0,288.0,2.0,Agustín Fuenzalida Propiedades,400.0,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Laslomas,5,4.0,312.0,523.0,4.0,Agustín Fuenzalida Propiedades,761.63,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,CaminoLasFlores,6,4.0,203.0,475.0,2.0,Agustín Fuenzalida Propiedades,782.98,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Laforesta,6,5.0,390.0,668.0,5.0,Agustín Fuenzalida Propiedades,1049.9,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,CarlosPeñaOtaegui,5,5.0,350.0,1100.0,2.0,Agustín Fuenzalida Propiedades,1067.7,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,LasTortolas,5,5.0,293.0,800.0,5.0,Agustín Fuenzalida Propiedades,1049.9,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,CarlosPeñaOtaegui,5,4.0,266.0,805.0,2.0,Agustín Fuenzalida Propiedades,761.63,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
LasCondes,Otoñal,6,4.0,650.0,3200.0,13.0,Agustín Fuenzalida Propiedades,2106.93,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
Huechuraba,Fviav.Puntanogalesconpedrofontova,4,4.0,140.0,270.0,2.0,Nieto & Stone Propiedades,316.75,5,4.3,medio,112,96.7,bajo,281,242.5,medio,156,134.6,medio,636,548.9,alto,28,24.2,alto,Norte
Huechuraba,FVIPaillacarconQuilahueque,3,4.0,128.0,208.0,2.0,Nieto & Stone Propiedades,248.77,5,4.3,medio,112,96.7,bajo,281,242.5,medio,156,134.6,medio,636,548.9,alto,28,24.2,alto,Norte
Huechuraba,Fvisantamartaconelroble,5,5.0,156.0,533.0,4.0,Nieto & Stone Propiedades,444.52,5,4.3,medio,112,96.7,bajo,281,242.5,medio,156,134.6,medio,636,548.9,alto,28,24.2,alto,Norte
Huechuraba,JNROportunidad!!,4,4.0,140.0,276.0,2.0,Nieto & Stone Propiedades,284.36,5,4.3,medio,112,96.7,bajo,281,242.5,medio,156,134.6,medio,636,548.9,alto,28,24.2,alto,Norte
LoBarnechea,Avenidalaspataguas,6,4.0,420.0,1228.0,8.0,Propiedades Viel SpA,1243.87,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
Maipú,SanEdmundo,5,2.0,131.0,130.0,2.0,Corredora de Propiedades Alto Coipue spa,122.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Colina,LosArándanos,4,3.0,84.0,194.0,2.0,Corredora de Propiedades Alto Coipue spa,145.0,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Maipú,SantaBerta,7,3.0,145.0,110.0,1.0,Corredora de Propiedades Alto Coipue spa,132.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,Elgranizo,5,2.0,113.0,108.0,2.0,Corredora de Propiedades Alto Coipue spa,119.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,Maipú,5,2.0,116.0,166.0,2.0,Corredora de Propiedades Alto Coipue spa,140.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,Elalto,4,4.0,154.0,159.0,2.0,Corredora de Propiedades Alto Coipue spa,165.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,SurdeChile,5,2.0,127.0,112.0,2.0,Corredora de Propiedades Alto Coipue spa,139.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,Elarrayán,3,2.0,101.0,191.0,2.0,Corredora de Propiedades Alto Coipue spa,160.16,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
LaFlorida,esquinaconcallelapirámide,4,1.0,112.0,115.0,2.0,Nexxos,147.06,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
Pirque,AvenidaConchayToro/PuenteRíoMaipo/Iglesia,7,7.0,600.0,3937.0,8.0,Lavalsil Ltda.,854.16,1,3.1,medio,49,154.2,medio,78,245.4,medio,7,22.0,bajo,37,116.4,bajo,6,18.9,medio,Suroriente
Buin,Buin,4,4.0,140.0,740.0,3.0,La Cumbre Propiedades,396.83,10,8.8,crítico,278,243.8,crítico,682,598.1,crítico,173,151.7,medio,385,337.6,medio,39,34.2,crítico,Sur
LoBarnechea,Paseodealcala-losnogalesladehesa,6,4.0,637.0,1694.0,8.0,Lyon y Balmaceda Ltda.,1530.37,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
SanRamón,Paraguay1661,4,3.0,96.0,217.0,3.0,Propiedades De Luca,120.0,11,12.9,crítico,116,136.0,medio,224,262.7,medio,213,249.8,alto,647,758.7,alto,14,16.4,medio,Sur
Providencia,SantaMaria/PedrodeValdiviaNorte,7,5.0,399.0,824.0,20.0,Propiedades Viel SpA,1423.6,2,1.2,medio,290,179.5,alto,906,560.8,crítico,645,399.2,crítico,1301,805.2,alto,36,22.3,alto,Nororiente
LoBarnechea,Condominio-piéandino-trapenses,5,3.0,297.0,800.0,3.0,Viel la Dehesa SPA,943.14,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LaReina,PepeVila/MetroFernandoCastilloVelasco,5,2.0,139.0,220.0,1.0,C y S Gestión Inmobiliaria Ltda,259.8,1,1.0,bajo,309,308.6,crítico,481,480.4,alto,250,249.7,alto,341,340.6,medio,14,14.0,medio,Nororiente
Ñuñoa,EmiliaTellez,4,2.0,136.0,215.0,2.0,C y S Gestión Inmobiliaria Ltda,299.6,3,1.2,medio,422,162.5,medio,914,351.9,medio,629,242.2,alto,1175,452.4,medio,24,9.2,bajo,Nororiente
Vitacura,SantaMariadeManquehue,6,5.0,415.0,720.0,2.0,Mi Llave,960.93,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
Colina,CondominioBordeAndino,3,3.0,130.0,430.0,2.0,Hobbins Vitacura,384.37,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Peñalolén,Lospresidentes/alvarocasanova.-m.L.A,7,5.0,237.0,701.0,4.0,Hobbins Vitacura,653.08,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
Peñalolén,ColegioMayor,5,3.0,190.0,290.0,2.0,Mi Llave,387.58,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
LoBarnechea,LagunaLoBarnechea,5,5.0,216.0,260.0,2.0,Invictus Spa,854.16,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LoBarnechea,Elmolino,7,6.0,552.0,1480.0,4.0,Invictus Spa,1601.55,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
LasCondes,Quinchamali,6,6.0,420.0,1920.0,5.0,Invictus Spa,1743.91,1,0.3,bajo,451,133.2,medio,899,265.6,medio,684,202.0,alto,555,163.9,bajo,39,11.5,bajo,Nororiente
Vitacura,LaVendimia,7,5.0,532.0,1200.0,4.0,Invictus Spa,1240.31,0,0.0,bajo,135,138.2,medio,354,362.5,alto,325,332.8,crítico,359,367.6,medio,3,3.1,bajo,Nororiente
LaReina,FranciscodeVillagra,6,4.0,161.0,528.0,10.0,Invictus Spa,426.58,1,1.0,bajo,309,308.6,crítico,481,480.4,alto,250,249.7,alto,341,340.6,medio,14,14.0,medio,Nororiente
