Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,Realtor,Price_CLP_MM,F_homicidio,T_homicidio,R_homicidio,F_rlh,T_rlh,R_rlh,F_rlnh,T_rlnh,R_rlnh,F_r_veh,T_r_veh,R_r_veh,F_r_violencia,T_r_violencia,R_r_violencia,F_violacion,T_violacion,R_violacion,Sector
SanBernardo,Sta.Ines3481,3,1.0,52.0,75.0,1.0,Rodrigo Cañas de la Cerda Propiedades,65.13,22,6.4,alto,372,108.6,medio,1004,293.2,medio,861,251.5,alto,2525,737.4,alto,81,23.7,alto,Sur
Maipú,Aracari389,3,1.0,76.0,120.0,2.0,Silvana Guillen Propiedades,115.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
SanMiguel,BartoloSoto,3,3.0,113.0,130.0,1.0,Good Property,261.59,4,2.9,medio,180,128.8,medio,436,312.0,medio,574,410.8,crítico,1066,762.9,alto,24,17.2,medio,Sur
Ñuñoa,Av.JoséPedroAlessandri1625,4,3.0,109.0,119.0,1.0,Good Property,266.57,3,1.2,medio,422,162.5,medio,914,351.9,medio,629,242.2,alto,1175,452.4,medio,24,9.2,bajo,Nororiente
Lampa,Lamontañasur,3,2.0,88.0,158.0,3.0,Peralta Propiedades SpA,160.16,4,3.0,medio,302,222.9,alto,646,476.9,alto,191,141.0,medio,664,490.2,medio,29,21.4,medio,Norte
SanMiguel,QuintaAvenida,5,2.0,200.0,300.0,3.0,Giordano Propiedades,259.81,4,2.9,medio,180,128.8,medio,436,312.0,medio,574,410.8,crítico,1066,762.9,alto,24,17.2,medio,Sur
Pudahuel,AvenidaLasFlores,3,3.0,145.0,454.0,2.0,Tzanis Propiedades,282.94,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
Maipú,PasajeSantaNidia,4,3.0,160.0,162.0,2.0,Gesinprop Gestión Inmobiliaria,140.58,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,Ptovelero,3,2.0,100.0,136.0,1.0,Gesinprop Gestión Inmobiliaria,121.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,Lastorres,5,2.0,127.0,112.0,2.0,alejandra escanilla garrido,139.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
