,Sec_Centro,Sec_Nororiente,Sec_Norponiente,Sec_Norte,Sec_Sur,Sec_Suroriente,Sec_Surponiente,Dorms,Baths,Built Area,Total Area,Parking,Price_CLP_MM
81,False,True,False,False,False,False,False,4,2.0,170.0,468.0,3.0,533.85
82,False,False,False,True,False,False,False,3,3.0,84.0,133.0,2.0,142.36
83,False,False,False,False,True,False,False,2,1.0,78.0,70.0,2.0,77.8
84,False,False,False,False,False,True,False,3,2.0,92.0,179.0,2.0,179.73
85,False,False,False,False,False,False,True,3,1.0,77.0,171.0,1.0,138.8
86,False,False,False,False,False,True,False,4,4.0,182.0,1600.0,5.0,960.93
87,True,False,False,False,False,False,False,5,3.0,254.0,490.0,4.0,925.34
88,False,False,False,False,True,False,False,4,2.0,90.0,100.0,1.0,115.0
89,False,False,False,False,False,True,False,3,1.0,61.0,108.0,2.0,102.64
90,False,False,False,False,False,True,False,4,3.0,140.0,260.0,2.0,462.67
91,False,False,False,False,False,False,True,3,2.0,65.0,90.0,1.0,72.0
92,False,False,False,False,False,True,False,3,3.0,92.0,172.0,4.0,140.0
93,False,False,False,False,True,False,False,3,2.0,83.0,750.0,6.0,252.33
94,False,False,False,False,True,False,False,3,2.0,63.0,107.0,2.0,115.95
95,False,False,False,False,False,True,False,3,2.0,98.0,227.0,2.0,242.01
96,False,False,False,False,False,True,False,4,2.0,153.0,173.0,2.0,210.0
97,False,False,False,False,True,False,False,5,2.0,150.0,330.0,3.0,295.4
98,False,False,False,False,False,False,True,3,1.0,43.0,198.0,2.0,75.0
99,False,False,False,False,False,True,False,4,4.0,177.0,259.0,3.0,320.31
100,False,False,False,False,False,True,False,3,1.0,81.0,160.0,3.0,125.0
101,False,True,False,False,False,False,False,4,1.0,70.0,135.0,1.0,105.0
102,False,False,False,True,False,False,False,3,3.0,167.0,400.0,3.0,480.46
103,False,False,False,True,False,False,False,5,3.0,178.0,216.0,1.0,227.0
104,False,False,False,False,False,True,False,3,3.0,121.0,290.0,2.0,266.92
105,False,False,False,True,False,False,False,4,2.0,160.0,300.0,2.0,143.0
106,False,False,False,False,False,False,True,2,1.0,60.0,90.0,1.0,75.0
107,False,False,False,False,False,False,True,3,3.0,130.0,150.0,2.0,120.0
108,False,False,False,False,False,True,False,5,2.0,130.0,115.0,2.0,64.5
109,False,False,False,False,False,False,True,3,2.0,80.0,160.0,1.0,79.0
110,False,False,False,False,False,False,True,4,2.0,50.0,69.0,1.0,74.0
111,False,True,False,False,False,False,False,3,2.0,228.0,451.0,3.0,448.43
112,False,False,False,True,False,False,False,3,1.0,85.0,180.0,3.0,130.0
